word,freq,pct_rank
aa,0.112,0.038
aah,0.145,0.113
aahed,0.477,0.481
aahing,0.275,0.326
aahs,0.313,0.364
aal,0.325,0.375
aalii,0.477,0.481
aaliis,1.0,0.79
aals,1.0,0.79
aardvark,0.175,0.181
aardvarks,0.261,0.311
aardwolf,0.261,0.311
aardwolves,1.0,0.79
aargh,0.173,0.177
aarrgh,0.294,0.347
aarrghh,0.591,0.541
aas,0.179,0.189
aasvogel,1.0,0.79
aasvogels,1.0,0.79
ab,0.118,0.05
aba,0.169,0.168
abaca,0.591,0.541
abacas,1.0,0.79
abaci,0.358,0.403
aback,0.148,0.121
abacterial,1.0,0.79
abacus,0.159,0.146
abacuses,0.294,0.347
abaft,0.591,0.541
abaka,1.0,0.79
abakas,1.0,0.79
abalone,0.261,0.311
abalones,1.0,0.79
abamp,1.0,0.79
abampere,1.0,0.79
abamperes,1.0,0.79
abamps,1.0,0.79
abandon,0.107,0.029
abandoned,0.105,0.026
abandoner,0.477,0.481
abandoners,0.591,0.541
abandoning,0.122,0.058
abandonment,0.137,0.094
abandonments,0.325,0.375
abandons,0.154,0.135
abapical,1.0,0.79
abas,0.383,0.422
abase,0.313,0.364
abased,1.0,0.79
abasedly,1.0,0.79
abasement,0.339,0.388
abasements,1.0,0.79
abaser,1.0,0.79
abasers,1.0,0.79
abases,0.591,0.541
abash,0.383,0.422
abashed,0.339,0.388
abashedly,0.477,0.481
abashes,1.0,0.79
abashing,0.591,0.541
abashment,0.591,0.541
abashments,1.0,0.79
abasia,1.0,0.79
abasias,1.0,0.79
abasing,1.0,0.79
abatable,0.591,0.541
abate,0.189,0.208
abated,0.193,0.215
abatement,0.213,0.248
abatements,0.358,0.403
abater,1.0,0.79
abaters,1.0,0.79
abates,0.27,0.321
abating,0.242,0.288
abatis,1.0,0.79
abatises,1.0,0.79
abator,1.0,0.79
abators,1.0,0.79
abattis,1.0,0.79
abattises,1.0,0.79
abattoir,0.198,0.224
abattoirs,0.303,0.355
abaxial,1.0,0.79
abaxile,1.0,0.79
abaya,0.227,0.268
abayas,0.313,0.364
abba,0.15,0.126
abbacies,1.0,0.79
abbacy,1.0,0.79
abbas,0.145,0.113
abbatial,0.591,0.541
abbe,0.325,0.375
abbes,1.0,0.79
abbess,1.0,0.79
abbesses,0.591,0.541
abbey,0.151,0.128
abbeys,0.591,0.541
abbot,0.183,0.197
abbotcies,1.0,0.79
abbotcy,1.0,0.79
abbots,0.383,0.422
abbotship,1.0,0.79
abbotships,1.0,0.79
abbreviate,0.162,0.153
abbreviated,0.145,0.113
abbreviates,0.261,0.311
abbreviating,0.202,0.231
abbreviation,0.131,0.079
abbreviations,0.146,0.116
abbreviator,0.477,0.481
abbreviators,1.0,0.79
abcoulomb,1.0,0.79
abcoulombs,1.0,0.79
abdicable,1.0,0.79
abdicate,0.168,0.166
abdicated,0.168,0.166
abdicates,0.233,0.276
abdicating,0.184,0.199
abdication,0.179,0.189
abdications,1.0,0.79
abdicator,1.0,0.79
abdicators,1.0,0.79
abdomen,0.138,0.096
abdomens,0.247,0.295
abdomina,0.591,0.541
abdominal,0.145,0.113
abdominally,1.0,0.79
abdominals,0.358,0.403
abduce,1.0,0.79
abduced,0.477,0.481
abducens,1.0,0.79
abducent,1.0,0.79
abducentes,1.0,0.79
abduces,1.0,0.79
abducing,1.0,0.79
abduct,0.167,0.164
abducted,0.139,0.098
abductee,0.287,0.339
abductees,0.226,0.266
abducting,0.18,0.191
abduction,0.146,0.116
abductions,0.169,0.168
abductor,0.254,0.302
abductores,1.0,0.79
abductors,0.244,0.291
abducts,0.265,0.316
abeam,0.591,0.541
abecedarian,0.591,0.541
abecedarians,1.0,0.79
abed,0.214,0.25
abegging,1.0,0.79
abele,0.477,0.481
abeles,1.0,0.79
abelia,0.591,0.541
abelian,0.208,0.24
abelias,1.0,0.79
abelmosk,1.0,0.79
abelmosks,1.0,0.79
aberrance,1.0,0.79
aberrances,1.0,0.79
aberrancies,1.0,0.79
aberrancy,0.591,0.541
aberrant,0.169,0.168
aberrantly,1.0,0.79
aberrants,1.0,0.79
aberrated,0.383,0.422
aberration,0.147,0.118
aberrational,0.358,0.403
aberrations,0.182,0.195
abet,0.185,0.201
abetment,1.0,0.79
abetments,1.0,0.79
abets,0.217,0.254
abettal,1.0,0.79
abettals,1.0,0.79
abetted,0.17,0.171
abetter,0.313,0.364
abetters,0.358,0.403
abetting,0.153,0.132
abettor,0.383,0.422
abettors,0.339,0.388
abeyance,0.257,0.306
abeyances,1.0,0.79
abeyancies,1.0,0.79
abeyancy,1.0,0.79
abeyant,1.0,0.79
abfarad,1.0,0.79
abfarads,1.0,0.79
abhenries,1.0,0.79
abhenry,1.0,0.79
abhenrys,1.0,0.79
abhor,0.134,0.086
abhorred,0.186,0.203
abhorrence,0.196,0.22
abhorrences,1.0,0.79
abhorrent,0.124,0.063
abhorrently,0.231,0.273
abhorrer,0.591,0.541
abhorrers,1.0,0.79
abhorring,0.233,0.276
abhors,0.164,0.158
abidance,0.591,0.541
abidances,1.0,0.79
abide,0.117,0.048
abided,0.199,0.225
abider,0.383,0.422
abiders,0.358,0.403
abides,0.157,0.142
abiding,0.123,0.061
abidingly,0.477,0.481
abigail,0.192,0.213
abigails,1.0,0.79
abilities,0.105,0.026
ability,0.086,0.005
abiogeneses,1.0,0.79
abiogenesis,0.137,0.094
abiogenic,0.18,0.191
abiogenically,0.294,0.347
abiogenist,1.0,0.79
abiogenists,1.0,0.79
abiological,0.477,0.481
abioses,1.0,0.79
abiosis,1.0,0.79
abiotic,0.17,0.171
abiotically,0.325,0.375
abject,0.132,0.081
abjection,0.419,0.446
abjections,1.0,0.79
abjectly,0.213,0.248
abjectness,1.0,0.79
abjectnesses,1.0,0.79
abjuration,0.339,0.388
abjurations,1.0,0.79
abjure,0.27,0.321
abjured,0.339,0.388
abjurer,0.383,0.422
abjurers,1.0,0.79
abjures,0.591,0.541
abjuring,0.419,0.446
ablate,0.313,0.364
ablated,0.247,0.295
ablates,0.325,0.375
ablating,0.591,0.541
ablation,0.237,0.282
ablations,1.0,0.79
ablative,0.203,0.232
ablatively,1.0,0.79
ablatives,1.0,0.79
ablator,0.591,0.541
ablators,1.0,0.79
ablaut,0.419,0.446
ablauts,1.0,0.79
ablaze,0.169,0.168
able,0.078,0.002
abled,0.186,0.203
ablegate,0.591,0.541
ablegates,1.0,0.79
ableism,0.383,0.422
ableisms,1.0,0.79
ableist,0.325,0.375
ableists,1.0,0.79
abler,0.477,0.481
ables,0.325,0.375
ablest,0.339,0.388
ablings,1.0,0.79
ablins,1.0,0.79
abloom,1.0,0.79
abluent,1.0,0.79
abluents,1.0,0.79
ablush,1.0,0.79
abluted,1.0,0.79
ablution,0.325,0.375
ablutionary,1.0,0.79
ablutions,0.358,0.403
